,Country_of_Operator_Owner,Satellite_Counts
0,Algeria,5
1,Argentina,16
2,Australia,12
3,Austria,1
4,Azerbaijan,2
5,Bangladesh,1
6,Belarus,2
7,Belgium,1
8,Bhutan,1
9,Bolivia,1
10,Brazil,11
11,Bulgaria,1
12,Canada,39
13,Chile,1
14,China,356
15,China/Brazil,2
16,China/France,2
17,China/Germany,2
18,China/Italy,1
19,Colombia,1
20,Czech Republic,3
21,Denmark,5
22,European Space Agency,53
23,European Space Agency/United States of America,1
24,European Space Agency/United States of America/Russia,1
25,Ecuador,1
26,Egypt,3
27,Ethiopia,1
28,Finland,7
29,France,12
30,France/Belgium/Sweden,2
31,France/Israel,1
32,France/Italy,3
33,France/Italy/Belgium/Spain/Greece,2
34,France/United States of America,1
35,Germany,37
36,Greece,2
37,Greece/United Kingdom,1
38,Hungary,2
39,India,58
40,India/Canada,1
41,India/France,2
42,Indonesia,9
43,Iran,1
44,Iraq,1
45,Israel,15
46,Italy,12
47,Japan,78
48,Japan/Singapore,2
49,Jordan,1
50,Kazakhstan,7
51,Laos,1
52,Latvia,1
53,Lithuania,2
54,Luxembourg,32
55,Malaysia,5
56,Mexico,4
57,Morocco,2
58,Morocco/Germany,1
59,Multinational,64
60,Nepal,1
61,Netherlands,12
62,Nigeria,3
63,Norway,7
64,Pakistan,3
65,Peru,1
66,Philippines,2
67,Poland,2
68,Qatar,1
69,Russia,167
70,Russia/United States of America,2
71,Saudi Arabia,13
72,Singapore,8
73,Singapore/Taiwan,1
74,South Africa,5
75,South Korea,16
76,Spain,21
77,Sri Lanka,1
78,Sudan,1
79,Sweden,2
80,Switzerland,4
81,Taiwan,1
82,Taiwan/United States of America,11
83,Thailand,5
84,Turkey,7
85,Turkmenistan/Monaco,1
86,United States of America,1308
87,United States of America/Argentina,4
88,United States of America/Canada,2
89,United States of America/Canada/Japan,1
90,United States of America/France,1
91,United States of America/Germany,2
92,United States of America/Japan,5
93,United States of America/Japan/Brazil,1
94,United States of America/Mexico,1
95,United States of America/Sweden,1
96,United States of America/United Kingdom/Italy,1
97,Ukraine,1
98,United Arab Emirates,8
99,United Kingdom,130
100,United Kingdom/European Space Agency,1
101,Venezuela,2
102,Vietnam,4
